alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,9070,http,http://61.97.191.101:9070,false,357.40637779236,59365,35,99.941077441077,61.97.191.101
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,9070,http,http://61.97.191.101:9070,false,357.40637779236,59365,35,99.941077441077,61.97.191.101
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,9070,http,http://61.97.191.101:9070,false,357.40637779236,59365,35,99.941077441077,61.97.191.101
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,9070,http,http://61.97.191.101:9070,false,357.40637779236,59365,35,99.941077441077,61.97.191.101
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,9070,http,http://61.97.191.101:9070,false,357.40637779236,59365,35,99.941077441077,61.97.191.101
true,1717530983.8736,elite,283.52437369812,1714933197.6198,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,105064,1717352590,1717691329.4266,4444,http,http://193.162.143.171:4444,false,357.40637779236,59365,35,99.941077441077,193.162.143.171
true,1717691328.9566,anonymous,3899.9424627263,1710634162.3766,"AS47583 Hostinger International Limited",AS-HOSTINGER,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Hostinger International Limited",50.1187,8.6842,false,Hostinger,true,Hesse,success,Europe/Berlin,60313,1717360921,1717691328.9566,80,http,http://191.101.80.162:80,false,425.85468292236,29336,83521,25.993956954376,191.101.80.162
true,1717689929.6162,elite,916.46549763354,1715352746.3477,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Tianjin,Asia,AS,China,CN,,false,"China Unicom Tianjin Province Network",39.3434,117.362,false,,true,Tianjin,success,Asia/Shanghai,300000,1717513209,1717691328.739,9091,http,http://111.160.204.146:9091,false,842.7894115448,28825,2388,92.349341620479,111.160.204.146
true,1717691043.0738,elite,960.17972566012,1711112653.9487,"AS43754 Asiatech Data Transmission company",ASIATECH,Tehran,Asia,AS,Iran,IR,,false,"Asiatech Data Transmission company",35.7282,51.4258,false,"Asiatech Data Transmission Co.",true,Tehran,success,Asia/Tehran,,1717164833,1717691328.3084,80,http,http://176.65.240.15:80,false,675.63104629517,49933,47390,51.306474317479,176.65.240.15
true,1717691328.1322,elite,352.38946752345,1715177824.7262,"AS8100 QuadraNet Enterprises LLC",ASN-QUADRANET-GLOBAL,Dallas,"North America",NA,"United States",US,,true,"QuadraNet Enterprises LLC",32.8137,-96.8704,false,"QuadraNet, Inc",true,Texas,success,America/Chicago,75247,1717683757,1717691328.1322,3128,http,http://155.94.241.130:3128,false,342.23222732544,47,1372,3.3121916842847,155.94.241.130
true,1717691147.5596,elite,2757.0240921096,1710578161.2589,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1717573402,1717691327.8854,32713,http,http://72.10.164.178:32713,false,786.51928901672,304,38416,0.78512396694215,72.10.164.178
true,1717686960.432,elite,374.92989310839,1701615234.9685,"AS140930 Pabna Cable Vision Dot Net",PCVDN-AS-AP,"Pabna Sadar",Asia,AS,Bangladesh,BD,,false,"Pabna Cable Vision Dot",24.0042,89.2528,false,"Mohammad Mizanur Rahman",true,"Rajshahi Division",success,Asia/Dhaka,6600,1717113834,1717691327.7006,80,http,http://103.153.154.6:80,false,345.78275680542,121990,11347,91.489984025439,103.153.154.6
true,1717691326.6967,elite,3898.3413393022,1697059071.0477,"AS136279 Glo Internet Services Pvt Ltd",GLO1-AS-IN,Sivakasi,Asia,AS,India,IN,,false,"Glo Internet Services Pvt Ltd",9.4463,77.795,false,"Glo  Pvt Ltd",false,"Tamil Nadu",success,Asia/Kolkata,626189,1717193271,1717691326.6967,4153,socks4,socks4://103.84.178.2:4153,true,2780.1928520203,7175,102046,6.5692495033006,103.84.178.2
true,1717691326.4031,elite,949.25040698542,1696968821.0052,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,"Downtown Los Angeles",true,"Performive LLC",34.0483,-118.255,false,"Total Server Solutions L.L.C",true,California,success,America/Los_Angeles,90189,1717187660,1717691326.4031,4145,socks4,socks4://199.116.114.11:4145,true,847.18132019043,85121,29366,74.349926192493,199.116.114.11
true,1717691326.4006,elite,5507.6296755491,1714146062.4491,"AS53589 PlanetHoster",PLANETHOSTER-8,Paris,Europe,EU,France,FR,,true,"PlanetHoster France",48.8323,2.4075,false,,true,Île-de-France,success,Europe/Paris,75001,1717170359,1717691326.4006,62783,socks4,socks4://85.236.158.182:62783,true,836.44795417786,347,36224,0.94883924420989,85.236.158.182
